Open,High,Low,Close,Adj Close,Volume
164.7899932861328,165.00999450683594,163.83999633789062,164.11000061035156,132.21902465820312,9291100
164.39999389648438,164.8699951171875,164.0399932861328,164.38999938964844,132.44473266601562,6127600
164.99000549316406,165.05999755859375,163.7100067138672,163.88999938964844,132.04190063476562,7446800
164.66000366210938,165.2899932861328,164.52000427246094,164.97000122070312,132.91197204589844,5387200
164.6999969482422,164.8300018310547,163.91000366210938,164.35000610351562,132.4125213623047,9461800
164.9499969482422,164.99000549316406,163.52000427246094,164.19000244140625,132.28359985351562,8212900
164.55999755859375,164.69000244140625,163.52000427246094,164.17999267578125,132.2754669189453,7497200
163.89999389648438,164.27999877929688,162.13999938964844,162.24000549316406,130.7124786376953,10676100
162.74000549316406,163.47000122070312,162.3699951171875,163.4499969482422,131.68731689453125,7335400
163.66000366210938,164.8000030517578,163.58999633789062,164.57000732421875,132.5897979736328,7780800
164.22000122070312,164.3300018310547,163.52000427246094,163.97999572753906,132.1143798828125,5170900
163.7899932861328,164.58999633789062,163.61000061035156,164.0800018310547,132.30224609375,8013200
165.02999877929688,165.0500030517578,162.7899932861328,163.72999572753906,132.02003479003906,9675200
163.75999450683594,163.8000030517578,162.99000549316406,163.47000122070312,131.81044006347656,5418100
162.42999267578125,162.42999267578125,161.07000732421875,161.7100067138672,130.3913116455078,9456000
160.7100067138672,160.88999938964844,158.47999572753906,158.47999572753906,127.78678894042969,14663200
158.7100067138672,159.11000061035156,157.50999450683594,158.02000427246094,127.41594696044922,14215300
158.47000122070312,159.1699981689453,158.27999877929688,158.94000244140625,128.1576690673828,8308000
157.66000366210938,158.25,156.75,157.10000610351562,126.67415618896484,14271200
158.3000030517578,158.77000427246094,157.3699951171875,158.1699981689453,127.53681182861328,7864700
156.22999572753906,157.6999969482422,155.85000610351562,156.75,126.39192199707031,10693100
156.57000732421875,156.75999450683594,153.25,153.52999877929688,123.79550170898438,18172800
153.9499969482422,154.52999877929688,153.25999450683594,154.0800018310547,124.23894500732422,11853400
153.72000122070312,154.50999450683594,153.1199951171875,154.17999267578125,124.31963348388672,11603200
154.6999969482422,156.14999389648438,154.6999969482422,156.13999938964844,125.90010833740234,10426200
156.55999755859375,157.8000030517578,156.0500030517578,157.77999877929688,127.22249603271484,11528500
157.75999450683594,157.82000732421875,157.1300048828125,157.75,127.19824981689453,4790700
158.05999755859375,160.08999633789062,157.94000244140625,159.75999450683594,128.8189697265625,7620400
160.0,160.4499969482422,159.33999633789062,159.7100067138672,128.77865600585938,5249600
158.66000366210938,160.47000122070312,158.61000061035156,160.2899932861328,129.24627685546875,5085000
160.0800018310547,161.8300018310547,159.89999389648438,161.58999633789062,130.29454040527344,5824400
161.6999969482422,161.75999450683594,161.1300048828125,161.41000366210938,130.1493377685547,4966400
161.02000427246094,162.33999633789062,160.3800048828125,160.52000427246094,129.4317169189453,8245400
160.55999755859375,161.72000122070312,160.10000610351562,161.30999755859375,130.06874084472656,7035600
161.0800018310547,161.6199951171875,160.6199951171875,160.80999755859375,130.0161895751953,5268200
161.02000427246094,162.69000244140625,160.97000122070312,161.66000366210938,130.70343017578125,6704400
161.74000549316406,162.24000549316406,161.1300048828125,161.5,130.57406616210938,6067800
161.7100067138672,162.25999450683594,161.27000427246094,161.83999633789062,130.848876953125,5032900
161.63999938964844,162.55999755859375,161.3699951171875,162.5500030517578,131.4230194091797,5292500
162.55999755859375,163.77000427246094,162.00999450683594,163.02000427246094,131.802978515625,10010400
161.58999633789062,162.19000244140625,160.49000549316406,161.49000549316406,130.56597900390625,9144400
163.1300048828125,164.0,163.0500030517578,163.6300048828125,132.29615783691406,7947500
163.77999877929688,163.82000732421875,163.2100067138672,163.35000610351562,132.06979370117188,4968400
163.82000732421875,164.30999755859375,163.75999450683594,164.08999633789062,132.66812133789062,4651800
164.75999450683594,164.88999938964844,163.80999755859375,164.33999633789062,132.87020874023438,7381900
164.0500030517578,164.16000366210938,163.17999267578125,163.99000549316406,132.58718872070312,3995400
164.27999877929688,164.49000549316406,163.11000061035156,163.4199981689453,132.12637329101562,5198700
162.66000366210938,163.57000732421875,162.47000122070312,163.22999572753906,131.9727325439453,5250800
163.74000549316406,164.02999877929688,160.77999877929688,161.0500030517578,130.2101287841797,9500500
160.72999572753906,161.60000610351562,160.3800048828125,160.64999389648438,129.88674926757812,8603100
161.39999389648438,162.6699981689453,161.3300018310547,162.3699951171875,131.2773895263672,6641400
162.69000244140625,163.63999938964844,162.5500030517578,163.27999877929688,132.0132598876953,7094600
163.25999450683594,163.57000732421875,161.14999389648438,162.19000244140625,131.13185119628906,7936400
161.85000610351562,163.47000122070312,161.47999572753906,163.3000030517578,132.02932739257812,6616200
163.47000122070312,164.1999969482422,162.52999877929688,162.6300048828125,131.71514892578125,7629500
163.1300048828125,163.4600067138672,161.77999877929688,162.44000244140625,131.5612335205078,6336000
163.3699951171875,163.72000122070312,162.57000732421875,163.38999938964844,132.3306427001953,5991100
164.07000732421875,164.3300018310547,162.32000732421875,162.3300018310547,131.47210693359375,6133800
162.25,162.67999267578125,161.5399932861328,162.27999877929688,131.4317169189453,7713700
162.61000061035156,163.82000732421875,162.32000732421875,162.85000610351562,131.8932647705078,4536000
163.72000122070312,164.4600067138672,163.63999938964844,164.24000549316406,133.01907348632812,6368400
164.6699981689453,165.30999755859375,164.5800018310547,164.9499969482422,133.59410095214844,4076100
165.19000244140625,165.57000732421875,164.75,165.3699951171875,133.9342498779297,5597700
165.72000122070312,165.75,164.9600067138672,165.33999633789062,133.90997314453125,4452600
