Open,High,Low,Close,Adj Close,Volume
117.93000030517578,118.7300033569336,117.75,118.0,118.0,7551000
118.63999938964844,119.62000274658203,118.58999633789062,119.29000091552734,119.29000091552734,5874400
119.76000213623047,120.38999938964844,117.11000061035156,119.5,119.5,10106500
118.45999908447266,118.91999816894531,118.12999725341797,118.81999969482422,118.81999969482422,6433700
117.98999786376953,118.5199966430664,117.5,118.12000274658203,118.12000274658203,7428500
118.11000061035156,118.69000244140625,117.98999786376953,118.45999908447266,118.45999908447266,3972800
119.72000122070312,120.43000030517578,119.58000183105469,120.26000213623047,120.26000213623047,7993200
120.2699966430664,121.04000091552734,120.19999694824219,121.0199966430664,121.0199966430664,5872700
120.54000091552734,121.05999755859375,119.72000122070312,119.88999938964844,119.88999938964844,7505400
119.19000244140625,119.80999755859375,119.11000061035156,119.66000366210938,119.66000366210938,5474300
119.83999633789062,119.95999908447266,119.56999969482422,119.79000091552734,119.79000091552734,3949500
120.3499984741211,121.0199966430664,120.19999694824219,120.93000030517578,120.93000030517578,7923400
119.2300033569336,119.97000122070312,119.2300033569336,119.69999694824219,119.69999694824219,6763500
119.6500015258789,119.7699966430664,119.16999816894531,119.19000244140625,119.19000244140625,4891800
120.97000122070312,122.0199966430664,120.97000122070312,121.79000091552734,121.79000091552734,11028200
122.05999755859375,122.5,121.55000305175781,122.29000091552734,122.29000091552734,8515700
121.6500015258789,122.05999755859375,120.72000122070312,120.95999908447266,120.95999908447266,7528600
121.31999969482422,121.4000015258789,120.41000366210938,120.94999694824219,120.94999694824219,5149500
122.19000244140625,122.51000213623047,121.12999725341797,122.47000122070312,122.47000122070312,12257500
119.66999816894531,120.22000122070312,119.5999984741211,119.7699966430664,119.7699966430664,8746500
120.6500015258789,120.86000061035156,119.45999908447266,120.08999633789062,120.08999633789062,7983100
120.47000122070312,122.11000061035156,120.31999969482422,121.31999969482422,121.31999969482422,9267300
120.41000366210938,121.08999633789062,120.38999938964844,120.98999786376953,120.98999786376953,7027400
121.76000213623047,121.87999725341797,120.7300033569336,121.29000091552734,121.29000091552734,6800000
121.37999725341797,121.51000213623047,120.77999877929688,121.23999786376953,121.23999786376953,4745800
121.23999786376953,122.23999786376953,121.2300033569336,122.16999816894531,122.16999816894531,6674700
122.80000305175781,123.16000366210938,122.72000122070312,122.91999816894531,122.91999816894531,7931200
123.37999725341797,124.75,123.36000061035156,124.36000061035156,124.36000061035156,11546000
124.4000015258789,124.9800033569336,124.12999725341797,124.43000030517578,124.43000030517578,6651900
124.69999694824219,125.5999984741211,124.66000366210938,125.48999786376953,125.48999786376953,9167900
126.98999786376953,127.37999725341797,126.75,127.1500015258789,127.1500015258789,11147900
127.41999816894531,127.75,127.08999633789062,127.4000015258789,127.4000015258789,7685800
127.26000213623047,127.44999694824219,126.16000366210938,126.2699966430664,126.2699966430664,9384100
126.75,127.75,126.4000015258789,127.5999984741211,127.5999984741211,10572900
127.56999969482422,128.07000732421875,127.1500015258789,127.58000183105469,127.58000183105469,7298200
128.50999450683594,129.07000732421875,128.33999633789062,128.99000549316406,128.99000549316406,12114200
128.6199951171875,129.52999877929688,128.57000732421875,129.2100067138672,129.2100067138672,5786000
128.49000549316406,128.75999450683594,127.41999816894531,128.11000061035156,128.11000061035156,7052900
128.39999389648438,128.8000030517578,127.88999938964844,128.1999969482422,128.1999969482422,5066500
128.27000427246094,128.35000610351562,127.1500015258789,127.62000274658203,127.62000274658203,10584100
130.0,130.58999633789062,129.80999755859375,130.2899932861328,130.2899932861328,11741100
128.5399932861328,129.24000549316406,128.32000732421875,128.67999267578125,128.67999267578125,6341700
128.7100067138672,129.33999633789062,128.5800018310547,128.88999938964844,128.88999938964844,4878500
129.7100067138672,130.47000122070312,129.47000122070312,130.1699981689453,130.1699981689453,5408900
128.25,129.22999572753906,128.2100067138672,129.08999633789062,129.08999633789062,7575000
128.8800048828125,129.61000061035156,128.77999877929688,129.1300048828125,129.1300048828125,4169900
130.00999450683594,130.14999389648438,128.92999267578125,129.86000061035156,129.86000061035156,7289800
131.55999755859375,132.1199951171875,131.38999938964844,131.75999450683594,131.75999450683594,11094200
131.69000244140625,132.5399932861328,131.55999755859375,132.2100067138672,132.2100067138672,8007700
133.67999267578125,133.69000244140625,132.35000610351562,133.10000610351562,133.10000610351562,11939600
132.72999572753906,133.22000122070312,131.22000122070312,131.63999938964844,131.63999938964844,14626800
130.38999938964844,131.27000427246094,130.3300018310547,130.6199951171875,130.6199951171875,6424400
129.5500030517578,129.67999267578125,127.94000244140625,128.08999633789062,128.08999633789062,12932900
127.77999877929688,128.41000366210938,127.58000183105469,127.86000061035156,127.86000061035156,7690800
129.0399932861328,129.08999633789062,128.41000366210938,128.47000122070312,128.47000122070312,7237300
126.87000274658203,127.13999938964844,126.02999877929688,126.18000030517578,126.18000030517578,13076500
126.44000244140625,126.81999969482422,126.23999786376953,126.41000366210938,126.41000366210938,6566900
126.2699966430664,126.37999725341797,125.12999725341797,125.41000366210938,125.41000366210938,8575400
125.05999755859375,125.29000091552734,124.20999908447266,124.58999633789062,124.58999633789062,7312300
124.2300033569336,124.95999908447266,123.87999725341797,124.55999755859375,124.55999755859375,7253700
124.5199966430664,124.79000091552734,123.56999969482422,123.61000061035156,123.61000061035156,12379200
123.70999908447266,123.8499984741211,123.11000061035156,123.38999938964844,123.38999938964844,5992000
124.41000366210938,124.75,124.19000244140625,124.31999969482422,124.31999969482422,4907800
123.75,124.26000213623047,123.58999633789062,123.91999816894531,123.91999816894531,3658800
